provider,decile,cumulative_percentage,group,location_no,location_yes
The University of West London,10,100,enrolment,1,1
Leeds Beckett University,0,0,enrolment,1,1
Leeds Beckett University,1,5,enrolment,1,1
Leeds Beckett University,2,11,enrolment,1,1
Leeds Beckett University,3,19,enrolment,1,1
Leeds Beckett University,4,29,enrolment,1,1
Leeds Beckett University,5,39,enrolment,1,1
Leeds Beckett University,6,49,enrolment,1,1
Leeds Beckett University,7,60,enrolment,1,1
Leeds Beckett University,8,74,enrolment,1,1
Leeds Beckett University,9,90,enrolment,1,1
Leeds Beckett University,10,100,enrolment,1,1
The University of Huddersfield,0,0,enrolment,1,1
The University of Huddersfield,1,11,enrolment,1,1
The University of Huddersfield,2,22,enrolment,1,1
The University of Huddersfield,3,32,enrolment,1,1
The University of Huddersfield,4,50,enrolment,1,1
The University of Huddersfield,5,60,enrolment,1,1
The University of Huddersfield,6,70,enrolment,1,1
The University of Huddersfield,7,80,enrolment,1,1
The University of Huddersfield,8,89,enrolment,1,1
The University of Huddersfield,9,96,enrolment,1,1
The University of Huddersfield,10,100,enrolment,1,1
University of Hertfordshire,0,0,enrolment,1,1
University of Hertfordshire,1,9,enrolment,1,1
University of Hertfordshire,2,21,enrolment,1,1
University of Hertfordshire,3,35,enrolment,1,1
University of Hertfordshire,4,48,enrolment,1,1
University of Hertfordshire,5,61,enrolment,1,1
University of Hertfordshire,6,70,enrolment,1,1
University of Hertfordshire,7,80,enrolment,1,1
University of Hertfordshire,8,88,enrolment,1,1
University of Hertfordshire,9,95,enrolment,1,1
University of Hertfordshire,10,100,enrolment,1,1
Middlesex University,0,0,enrolment,1,1
Middlesex University,1,18,enrolment,1,1
Middlesex University,2,38,enrolment,1,1
Middlesex University,3,54,enrolment,1,1
Middlesex University,4,70,enrolment,1,1
Middlesex University,5,80,enrolment,1,1
Middlesex University,6,85,enrolment,1,1
Middlesex University,7,89,enrolment,1,1
Middlesex University,8,93,enrolment,1,1
Middlesex University,9,96,enrolment,1,1
Middlesex University,10,100,enrolment,1,1
The University of Reading,0,0,enrolment,1,1
The University of Reading,1,3,enrolment,1,1
The University of Reading,2,7,enrolment,1,1
The University of Reading,3,13,enrolment,1,1
The University of Reading,4,21,enrolment,1,1
The University of Reading,5,31,enrolment,1,1
The University of Reading,6,41,enrolment,1,1
The University of Reading,7,51,enrolment,1,1
The University of Reading,8,63,enrolment,1,1
The University of Reading,9,79,enrolment,1,1
The University of Reading,10,100,enrolment,1,1
Newcastle University,0,0,enrolment,1,1
Newcastle University,1,2,enrolment,1,1
Newcastle University,2,4,enrolment,1,1
Newcastle University,3,8,enrolment,1,1
Newcastle University,4,13,enrolment,1,1
Newcastle University,5,20,enrolment,1,1
Newcastle University,6,28,enrolment,1,1
Newcastle University,7,39,enrolment,1,1
Newcastle University,8,52,enrolment,1,1
Newcastle University,9,70,enrolment,1,1
Newcastle University,10,100,enrolment,1,1
The University of Bristol,0,0,enrolment,1,1
The University of Bristol,1,2,enrolment,1,1
The University of Bristol,2,4,enrolment,1,1
The University of Bristol,3,7,enrolment,1,1
The University of Bristol,4,11,enrolment,1,1
The University of Bristol,5,17,enrolment,1,1
The University of Bristol,6,26,enrolment,1,1
The University of Bristol,7,37,enrolment,1,1
The University of Bristol,8,49,enrolment,1,1
The University of Bristol,9,62,enrolment,1,1
The University of Bristol,10,100,enrolment,1,1
The University of Brighton,0,0,enrolment,1,1
The University of Brighton,1,4,enrolment,1,1
The University of Brighton,2,10,enrolment,1,1
The University of Brighton,3,18,enrolment,1,1
The University of Brighton,4,29,enrolment,1,1
The University of Brighton,5,40,enrolment,1,1
The University of Brighton,6,54,enrolment,1,1
The University of Brighton,7,66,enrolment,1,1
The University of Brighton,8,79,enrolment,1,1
The University of Brighton,9,91,enrolment,1,1
The University of Brighton,10,100,enrolment,1,1
The University of Sunderland,0,0,enrolment,1,1
The University of Sunderland,1,9,enrolment,1,1
The University of Sunderland,2,18,enrolment,1,1
The University of Sunderland,3,31,enrolment,1,1
The University of Sunderland,4,43,enrolment,1,1
The University of Sunderland,5,57,enrolment,1,1
The University of Sunderland,6,68,enrolment,1,1
The University of Sunderland,7,77,enrolment,1,1
The University of Sunderland,8,84,enrolment,1,1
The University of Sunderland,9,95,enrolment,1,1
The University of Sunderland,10,100,enrolment,1,1
Royal Holloway and Bedford New College,0,0,enrolment,1,1
Royal Holloway and Bedford New College,1,5,enrolment,1,1
Royal Holloway and Bedford New College,2,10,enrolment,1,1
Royal Holloway and Bedford New College,3,17,enrolment,1,1
Royal Holloway and Bedford New College,4,28,enrolment,1,1
Royal Holloway and Bedford New College,5,39,enrolment,1,1
Royal Holloway and Bedford New College,6,49,enrolment,1,1
Royal Holloway and Bedford New College,7,59,enrolment,1,1
Royal Holloway and Bedford New College,8,69,enrolment,1,1
Royal Holloway and Bedford New College,9,79,enrolment,1,1
Royal Holloway and Bedford New College,10,100,enrolment,1,1
The University of Essex,0,0,enrolment,1,1
The University of Essex,1,9,enrolment,1,1
The University of Essex,2,19,enrolment,1,1
The University of Essex,3,31,enrolment,1,1
The University of Essex,4,44,enrolment,1,1
The University of Essex,5,56,enrolment,1,1
The University of Essex,6,66,enrolment,1,1
The University of Essex,7,76,enrolment,1,1
The University of Essex,8,85,enrolment,1,1
The University of Essex,9,93,enrolment,1,1
The University of Essex,10,100,enrolment,1,1
University College London,0,0,enrolment,1,1
University College London,1,4,enrolment,1,1
University College London,2,9,enrolment,1,1
University College London,3,16,enrolment,1,1
University College London,4,24,enrolment,1,1
University College London,5,31,enrolment,1,1
University College London,6,38,enrolment,1,1
University College London,7,45,enrolment,1,1
University College London,8,53,enrolment,1,1
University College London,9,60,enrolment,1,1
University College London,10,100,enrolment,1,1
The University of Surrey,0,0,enrolment,1,1
The University of Surrey,1,4,enrolment,1,1
The University of Surrey,2,10,enrolment,1,1
The University of Surrey,3,16,enrolment,1,1
The University of Surrey,4,25,enrolment,1,1
The University of Surrey,5,36,enrolment,1,1
The University of Surrey,6,48,enrolment,1,1
The University of Surrey,7,59,enrolment,1,1
The University of Surrey,8,69,enrolment,1,1
The University of Surrey,9,81,enrolment,1,1
The University of Surrey,10,100,enrolment,1,1
The University of Oxford,0,0,enrolment,1,1
The University of Oxford,1,1,enrolment,1,1
The University of Oxford,2,3,enrolment,1,1
The University of Oxford,3,6,enrolment,1,1
The University of Oxford,4,11,enrolment,1,1
The University of Oxford,5,17,enrolment,1,1
The University of Oxford,6,24,enrolment,1,1
The University of Oxford,7,33,enrolment,1,1
The University of Oxford,8,43,enrolment,1,1
The University of Oxford,9,56,enrolment,1,1
The University of Oxford,10,100,enrolment,1,1
"University of the West of England, Bristol",0,0,enrolment,1,1
"University of the West of England, Bristol",1,2,enrolment,1,1
"University of the West of England, Bristol",2,6,enrolment,1,1
"University of the West of England, Bristol",3,12,enrolment,1,1
"University of the West of England, Bristol",4,18,enrolment,1,1
"University of the West of England, Bristol",5,28,enrolment,1,1
"University of the West of England, Bristol",6,41,enrolment,1,1
"University of the West of England, Bristol",7,57,enrolment,1,1
"University of the West of England, Bristol",8,73,enrolment,1,1
"University of the West of England, Bristol",9,88,enrolment,1,1
"University of the West of England, Bristol",10,100,enrolment,1,1
The University of East Anglia,0,0,enrolment,1,1
The University of East Anglia,1,3,enrolment,1,1
The University of East Anglia,2,8,enrolment,1,1
The University of East Anglia,3,14,enrolment,1,1
The University of East Anglia,4,22,enrolment,1,1
The University of East Anglia,5,31,enrolment,1,1
The University of East Anglia,6,43,enrolment,1,1
The University of East Anglia,7,58,enrolment,1,1
The University of East Anglia,8,71,enrolment,1,1
The University of East Anglia,9,84,enrolment,1,1
The University of East Anglia,10,100,enrolment,1,1
Teesside University,0,0,enrolment,1,1
Teesside University,1,12,enrolment,1,1
Teesside University,2,23,enrolment,1,1
Teesside University,3,34,enrolment,1,1
Teesside University,4,46,enrolment,1,1
Teesside University,5,54,enrolment,1,1
Teesside University,6,64,enrolment,1,1
Teesside University,7,72,enrolment,1,1
Teesside University,8,83,enrolment,1,1
Teesside University,9,94,enrolment,1,1
Teesside University,10,100,enrolment,1,1
Edge Hill University,0,0,enrolment,1,1
Edge Hill University,1,6,enrolment,1,1
Edge Hill University,2,13,enrolment,1,1
Edge Hill University,3,21,enrolment,1,1
Edge Hill University,4,31,enrolment,1,1
Edge Hill University,5,40,enrolment,1,1
Edge Hill University,6,52,enrolment,1,1
Edge Hill University,7,63,enrolment,1,1
Edge Hill University,8,78,enrolment,1,1
Edge Hill University,9,94,enrolment,1,1
Edge Hill University,10,100,enrolment,1,1
University of Worcester,0,0,enrolment,1,1
University of Worcester,1,5,enrolment,1,1
University of Worcester,2,10,enrolment,1,1
University of Worcester,3,18,enrolment,1,1
University of Worcester,4,29,enrolment,1,1
University of Worcester,5,39,enrolment,1,1
University of Worcester,6,50,enrolment,1,1
University of Worcester,7,64,enrolment,1,1
University of Worcester,8,78,enrolment,1,1
University of Worcester,9,91,enrolment,1,1
University of Worcester,10,100,enrolment,1,1
Keele University,0,0,enrolment,1,1
Keele University,1,6,enrolment,1,1
Keele University,2,13,enrolment,1,1
Keele University,3,22,enrolment,1,1
Keele University,4,34,enrolment,1,1
Keele University,5,43,enrolment,1,1
Keele University,6,53,enrolment,1,1
Keele University,7,63,enrolment,1,1
Keele University,8,75,enrolment,1,1
Keele University,9,89,enrolment,1,1
Keele University,10,100,enrolment,1,1
University of Cumbria,0,0,enrolment,1,1
University of Cumbria,1,6,enrolment,1,1
University of Cumbria,2,11,enrolment,1,1
University of Cumbria,3,18,enrolment,1,1
University of Cumbria,4,28,enrolment,1,1
University of Cumbria,5,40,enrolment,1,1
University of Cumbria,6,51,enrolment,1,1
University of Cumbria,7,63,enrolment,1,1
University of Cumbria,8,78,enrolment,1,1
University of Cumbria,9,93,enrolment,1,1
University of Cumbria,10,100,enrolment,1,1
Staffordshire University,0,0,enrolment,1,1
Staffordshire University,1,9,enrolment,1,1
Staffordshire University,2,19,enrolment,1,1
Staffordshire University,3,29,enrolment,1,1
Staffordshire University,4,42,enrolment,1,1
Staffordshire University,5,53,enrolment,1,1
Staffordshire University,6,63,enrolment,1,1
Staffordshire University,7,73,enrolment,1,1
Staffordshire University,8,84,enrolment,1,1
Staffordshire University,9,96,enrolment,1,1
Staffordshire University,10,100,enrolment,1,1
Falmouth University,0,0,enrolment,1,1
Falmouth University,1,2,enrolment,1,1
Falmouth University,2,6,enrolment,1,1
Falmouth University,3,12,enrolment,1,1
Falmouth University,4,18,enrolment,1,1
Falmouth University,5,27,enrolment,1,1
Falmouth University,6,42,enrolment,1,1
Falmouth University,7,56,enrolment,1,1
Falmouth University,8,70,enrolment,1,1
Falmouth University,9,84,enrolment,1,1
Falmouth University,10,100,enrolment,1,1
University of Chester,0,0,enrolment,1,1
University of Chester,1,4,enrolment,1,1
University of Chester,2,11,enrolment,1,1
University of Chester,3,20,enrolment,1,1
University of Chester,4,27,enrolment,1,1
University of Chester,5,38,enrolment,1,1
University of Chester,6,48,enrolment,1,1
University of Chester,7,61,enrolment,1,1
University of Chester,8,76,enrolment,1,1
University of Chester,9,92,enrolment,1,1
University of Chester,10,100,enrolment,1,1
Birmingham City University,0,0,enrolment,1,1
Birmingham City University,1,14,enrolment,1,1
Birmingham City University,2,26,enrolment,1,1
Birmingham City University,3,38,enrolment,1,1
Birmingham City University,4,52,enrolment,1,1
Birmingham City University,5,61,enrolment,1,1
Birmingham City University,6,69,enrolment,1,1
Birmingham City University,7,77,enrolment,1,1
Birmingham City University,8,85,enrolment,1,1
Birmingham City University,9,94,enrolment,1,1
Birmingham City University,10,100,enrolment,1,1
University of Derby,0,0,enrolment,1,1
University of Derby,1,6,enrolment,1,1
University of Derby,2,13,enrolment,1,1
University of Derby,3,22,enrolment,1,1
University of Derby,4,34,enrolment,1,1
University of Derby,5,45,enrolment,1,1
University of Derby,6,57,enrolment,1,1
University of Derby,7,70,enrolment,1,1
University of Derby,8,82,enrolment,1,1
University of Derby,9,96,enrolment,1,1
University of Derby,10,100,enrolment,1,1
Liverpool John Moores University,0,0,enrolment,1,1
Liverpool John Moores University,1,6,enrolment,1,1
Liverpool John Moores University,2,13,enrolment,1,1
Liverpool John Moores University,3,24,enrolment,1,1
Liverpool John Moores University,4,33,enrolment,1,1
Liverpool John Moores University,5,43,enrolment,1,1
Liverpool John Moores University,6,53,enrolment,1,1
Liverpool John Moores University,7,64,enrolment,1,1
Liverpool John Moores University,8,76,enrolment,1,1
Liverpool John Moores University,9,91,enrolment,1,1
Liverpool John Moores University,10,100,enrolment,1,1
University of Bedfordshire,0,0,enrolment,1,1
University of Bedfordshire,1,13,enrolment,1,1
University of Bedfordshire,2,25,enrolment,1,1
University of Bedfordshire,3,37,enrolment,1,1
University of Bedfordshire,4,54,enrolment,1,1
University of Bedfordshire,5,65,enrolment,1,1
University of Bedfordshire,6,73,enrolment,1,1
University of Bedfordshire,7,82,enrolment,1,1
University of Bedfordshire,8,88,enrolment,1,1
University of Bedfordshire,9,94,enrolment,1,1
University of Bedfordshire,10,100,enrolment,1,1
Aston University,0,0,enrolment,1,1
Aston University,1,11,enrolment,1,1
Aston University,2,23,enrolment,1,1
Aston University,3,37,enrolment,1,1
Aston University,4,58,enrolment,1,1
Aston University,5,68,enrolment,1,1
Aston University,6,75,enrolment,1,1
Aston University,7,82,enrolment,1,1
Aston University,8,87,enrolment,1,1
Aston University,9,92,enrolment,1,1
Aston University,10,100,enrolment,1,1
Coventry University,0,0,enrolment,1,1
Coventry University,1,11,enrolment,1,1
Coventry University,2,23,enrolment,1,1
Coventry University,3,36,enrolment,1,1
Coventry University,4,52,enrolment,1,1
Coventry University,5,63,enrolment,1,1
Coventry University,6,72,enrolment,1,1
Coventry University,7,79,enrolment,1,1
Coventry University,8,86,enrolment,1,1
