"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Higher working","year",2024,,,,,"2022 to 2024",13.181,11.903,14.596,569,"Pounds","Mean hourly earnings","2022 to 2024"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Higher working","year",2025,,,,,"2023 to 2025",13.032,11.713,14.5,689,"Pounds","Mean hourly earnings","2023 to 2025"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Lower working","year",2016,,,,,"2014 to 2016",10.369,9.779,10.994,1002,"Pounds","Mean hourly earnings","2014 to 2016"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Lower working","year",2017,,,,,"2015 to 2017",10.752,10.139,11.403,962,"Pounds","Mean hourly earnings","2015 to 2017"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Lower working","year",2018,,,,,"2016 to 2018",11.291,10.622,12.001,831,"Pounds","Mean hourly earnings","2016 to 2018"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Lower working","year",2019,,,,,"2017 to 2019",11.209,10.513,11.951,889,"Pounds","Mean hourly earnings","2017 to 2019"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Lower working","year",2020,,,,,"2018 to 2020",11.171,10.339,12.069,671,"Pounds","Mean hourly earnings","2018 to 2020"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Lower working","year",2021,,,,,"2019 to 2021",11.321,10.412,12.31,807,"Pounds","Mean hourly earnings","2019 to 2021"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Lower working","year",2022,,,,,"2020 to 2022",12.027,10.962,13.196,597,"Pounds","Mean hourly earnings","2020 to 2022"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Lower working","year",2023,,,,,"2021 to 2023",12.396,11.29,13.611,371,"Pounds","Mean hourly earnings","2021 to 2023"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Lower working","year",2024,,,,,"2022 to 2024",12.74,11.514,14.097,569,"Pounds","Mean hourly earnings","2022 to 2024"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Lower working","year",2025,,,,,"2023 to 2025",12.439,11.213,13.798,689,"Pounds","Mean hourly earnings","2023 to 2025"
