"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","variable_used","weight_used","age_used","year_used","label"
"dr51","Broadband speed","geography_caterpillar","TLF3","ITL2","Lincolnshire","area_name","Lincolnshire","quintile","1",NA,NA,NA,NA,"2024",71.058,"NA","NA","272178","Percent",NA,NA,NA,NA,NA,"71%"
"dr51","Broadband speed","geography_caterpillar","TLD3","ITL2","Greater Manchester","area_name","Greater Manchester","quintile","5",NA,NA,NA,NA,"2024",90.182,"NA","NA","1219821","Percent",NA,NA,NA,NA,NA,"90%"
"dr51","Broadband speed","geography_caterpillar","TLE3","ITL2","South Yorkshire","area_name","South Yorkshire","quintile","4",NA,NA,NA,NA,"2024",89.044,"NA","NA","593664","Percent",NA,NA,NA,NA,NA,"89%"
"dr51","Broadband speed","geography_caterpillar","TLG3","ITL2","West Midlands","area_name","West Midlands","quintile","5",NA,NA,NA,NA,"2024",93.318,"NA","NA","1186904","Percent",NA,NA,NA,NA,NA,"93%"
"dr51","Broadband speed","geography_caterpillar","TLE4","ITL2","West Yorkshire","area_name","West Yorkshire","quintile","5",NA,NA,NA,NA,"2024",89.445,"NA","NA","974100","Percent",NA,NA,NA,NA,NA,"89%"
"dr51","Broadband speed","geography_caterpillar","TLI3","ITL2","Inner London - West","area_name","Inner London - West","quintile","4",NA,NA,NA,NA,"2024",86.608,"NA","NA","568403","Percent",NA,NA,NA,NA,NA,"87%"
"dr51","Broadband speed","geography_caterpillar","TLI5","ITL2","Outer London - East and North East","area_name","Outer London - East and North East","quintile","5",NA,NA,NA,NA,"2024",90.548,"NA","NA","719508","Percent",NA,NA,NA,NA,NA,"91%"
"dr51","Broadband speed","geography_caterpillar","TLI7","ITL2","Outer London - West and North West","area_name","Outer London - West and North West","quintile","4",NA,NA,NA,NA,"2024",84.464,"NA","NA","747337","Percent",NA,NA,NA,NA,NA,"84%"
"dr51","Broadband speed","geography_caterpillar","TLI6","ITL2","Outer London - South","area_name","Outer London - South","quintile","5",NA,NA,NA,NA,"2024",89.966,"NA","NA","516857","Percent",NA,NA,NA,NA,NA,"90%"
"dr51","Broadband speed","geography_caterpillar","TLI4","ITL2","Inner London - East","area_name","Inner London - East","quintile","4",NA,NA,NA,NA,"2024",87.892,"NA","NA","973560","Percent",NA,NA,NA,NA,NA,"88%"
"dr51","Broadband speed","geography_caterpillar","TLM7","ITL2","Eastern Scotland","area_name","Eastern Scotland","quintile","3",NA,NA,NA,NA,"2024",81.24,"NA","NA","850777","Percent",NA,NA,NA,NA,NA,"81%"
"dr51","Broadband speed","geography_caterpillar","TLM9","ITL2","Southern Scotland","area_name","Southern Scotland","quintile","1",NA,NA,NA,NA,"2024",69.276,"NA","NA","354935","Percent",NA,NA,NA,NA,NA,"69%"
"dr51","Broadband speed","geography_caterpillar","TLM8","ITL2","West Central Scotland","area_name","West Central Scotland","quintile","5",NA,NA,NA,NA,"2024",90.941,"NA","NA","722783","Percent",NA,NA,NA,NA,NA,"91%"
"dr51","Broadband speed","geography_caterpillar","TLM6","ITL2","Highlands and Islands","area_name","Highlands and Islands","quintile","1",NA,NA,NA,NA,"2024",35.974,"NA","NA","99900","Percent",NA,NA,NA,NA,NA,"36%"
"dr51","Broadband speed","geography_caterpillar","TLM5","ITL2","North Eastern Scotland","area_name","North Eastern Scotland","quintile","1",NA,NA,NA,NA,"2024",62.557,"NA","NA","163180","Percent",NA,NA,NA,NA,NA,"63%"
"dr51","Broadband speed","geography_caterpillar","TLL1","ITL2","West Wales and The Valleys","area_name","West Wales and The Valleys","quintile","1",NA,NA,NA,NA,"2024",68.446,"NA","NA","679255","Percent",NA,NA,NA,NA,NA,"68%"
"dr51","Broadband speed","geography_caterpillar","TLL2","ITL2","East Wales","area_name","East Wales","quintile","2",NA,NA,NA,NA,"2024",78.087,"NA","NA","445889","Percent",NA,NA,NA,NA,NA,"78%"
"dr51","Broadband speed","geography_caterpillar","TLN0","ITL2","Northern Ireland","area_name","Northern Ireland","quintile","5",NA,NA,NA,NA,"2024",93,"NA","NA","818692","Percent",NA,NA,NA,NA,NA,"93%"
