"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","variable_used","weight_used","age_used","year_used","label"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2024","seb","Lower working","highest_qualification","first",NA,NA,"2014-2025",24.197,"20.859","27.707","309","Average","3-year moving average","seb","rweight","25-29","2014-2025","24%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2024","seb","Higher working","highest_qualification","first",NA,NA,"2014-2025",25.984,"22.351","29.980","267","Average","3-year moving average","seb","rweight","25-29","2014-2025","26%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2024","seb","Intermediate","highest_qualification","first",NA,NA,"2014-2025",33.427,"30.182","36.905","424","Average","3-year moving average","seb","rweight","25-29","2014-2025","33%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2024","seb","Lower professional","highest_qualification","first",NA,NA,"2014-2025",40.703,"37.128","44.235","394","Average","3-year moving average","seb","rweight","25-29","2014-2025","41%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2024","seb","Higher professional","highest_qualification","first",NA,NA,"2014-2025",48.197,"44.459","52.062","357","Average","3-year moving average","seb","rweight","25-29","2014-2025","48%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2025","seb","Lower working","highest_qualification","first",NA,NA,"2014-2025",24.54,"21.319","28.065","340","Average","3-year moving average","seb","rweight","25-29","2014-2025","25%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2025","seb","Higher working","highest_qualification","first",NA,NA,"2014-2025",25.731,"22.244","29.750","293","Average","3-year moving average","seb","rweight","25-29","2014-2025","26%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2025","seb","Intermediate","highest_qualification","first",NA,NA,"2014-2025",33,"29.842","36.414","465","Average","3-year moving average","seb","rweight","25-29","2014-2025","33%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2025","seb","Lower professional","highest_qualification","first",NA,NA,"2014-2025",40.923,"37.437","44.449","435","Average","3-year moving average","seb","rweight","25-29","2014-2025","41%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2025","seb","Higher professional","highest_qualification","first",NA,NA,"2014-2025",45.89,"42.274","49.731","398","Average","3-year moving average","seb","rweight","25-29","2014-2025","46%"
