"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","variable_used","weight_used","age_used","year_used"
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Blackburn with Darwen","time_period","2000 to 2005","zscore_category","85-95%",NA,NA,NA,NA,"2000 to 2005","-1.167","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Blackpool","time_period","2000 to 2005","zscore_category","70-85%",NA,NA,NA,NA,"2000 to 2005","-0.852","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Blaenau Gwent","time_period","2000 to 2005","zscore_category","Bottom 5%",NA,NA,NA,NA,"2000 to 2005","-1.961","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Bolton","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","0.133","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Bournemouth, Christchurch and Poole","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","-0.142","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Bracknell Forest","time_period","2000 to 2005","zscore_category","5-15%",NA,NA,NA,NA,"2000 to 2005","1.368","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Bradford","time_period","2000 to 2005","zscore_category","70-85%",NA,NA,NA,NA,"2000 to 2005","-0.777","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Brent","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","0.044","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Bridgend","time_period","2000 to 2005","zscore_category","70-85%",NA,NA,NA,NA,"2000 to 2005","-0.865","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Brighton and Hove","time_period","2000 to 2005","zscore_category","Top 5%",NA,NA,NA,NA,"2000 to 2005","1.517","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Bristol, City of","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","0.314","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Bromley","time_period","2000 to 2005","zscore_category","5-15%",NA,NA,NA,NA,"2000 to 2005","1.478","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Buckinghamshire","time_period","2000 to 2005","zscore_category","Top 5%",NA,NA,NA,NA,"2000 to 2005","1.999","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Bury","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","0.037","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Caerphilly","time_period","2000 to 2005","zscore_category","85-95%",NA,NA,NA,NA,"2000 to 2005","-1.059","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Calderdale","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","-0.189","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Cambridgeshire CC","time_period","2000 to 2005","zscore_category","5-15%",NA,NA,NA,NA,"2000 to 2005","1.122","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Camden and City of London","time_period","2000 to 2005","zscore_category","5-15%",NA,NA,NA,NA,"2000 to 2005","1.453","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Cardiff","time_period","2000 to 2005","zscore_category","15-30%",NA,NA,NA,NA,"2000 to 2005","0.598","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Carmarthenshire","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","-0.282","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Central Bedfordshire","time_period","2000 to 2005","zscore_category","15-30%",NA,NA,NA,NA,"2000 to 2005","0.718","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Ceredigion","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","-0.388","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Cheshire East","time_period","2000 to 2005","zscore_category","5-15%",NA,NA,NA,NA,"2000 to 2005","1.128","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Cheshire West and Chester","time_period","2000 to 2005","zscore_category","15-30%",NA,NA,NA,NA,"2000 to 2005","0.587","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","City of Edinburgh","time_period","2000 to 2005","zscore_category","Top 5%",NA,NA,NA,NA,"2000 to 2005","1.687","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Clackmannanshire","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","-0.131","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Conwy","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","-0.292","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Cornwall and Isles of Scilly","time_period","2000 to 2005","zscore_category","70-85%",NA,NA,NA,NA,"2000 to 2005","-0.568","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Coventry","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","-0.282","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Croydon","time_period","2000 to 2005","zscore_category","15-30%",NA,NA,NA,NA,"2000 to 2005","0.616","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Cumbria","time_period","2000 to 2005","zscore_category","70-85%",NA,NA,NA,NA,"2000 to 2005","-0.626","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Darlington","time_period","2000 to 2005","zscore_category","70-85%",NA,NA,NA,NA,"2000 to 2005","-0.637","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Denbighshire","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","-0.297","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Derby","time_period","2000 to 2005","zscore_category","70-85%",NA,NA,NA,NA,"2000 to 2005","-0.559","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Derbyshire","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","-0.490","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Devon CC","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","-0.005","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Doncaster","time_period","2000 to 2005","zscore_category","85-95%",NA,NA,NA,NA,"2000 to 2005","-1.368","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Dorset","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","0.251","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Dudley","time_period","2000 to 2005","zscore_category","70-85%",NA,NA,NA,NA,"2000 to 2005","-0.500","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Dumfries and Galloway","time_period","2000 to 2005","zscore_category","70-85%",NA,NA,NA,NA,"2000 to 2005","-0.506","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Dundee City","time_period","2000 to 2005","zscore_category","70-85%",NA,NA,NA,NA,"2000 to 2005","-0.623","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Durham","time_period","2000 to 2005","zscore_category","70-85%",NA,NA,NA,NA,"2000 to 2005","-0.917","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Ealing","time_period","2000 to 2005","zscore_category","5-15%",NA,NA,NA,NA,"2000 to 2005","1.176","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","East Ayrshire","time_period","2000 to 2005","zscore_category","85-95%",NA,NA,NA,NA,"2000 to 2005","-1.141","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","East Dunbartonshire","time_period","2000 to 2005","zscore_category","Top 5%",NA,NA,NA,NA,"2000 to 2005","1.659","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","East Lothian","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","0.160","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","East Renfrewshire","time_period","2000 to 2005","zscore_category","Top 5%",NA,NA,NA,NA,"2000 to 2005","2.288","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","East Riding of Yorkshire","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","0.191","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","East Sussex CC","time_period","2000 to 2005","zscore_category","15-30%",NA,NA,NA,NA,"2000 to 2005","0.539","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Enfield","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","0.431","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Essex","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","0.422","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Falkirk","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","-0.320","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Fife","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","-0.491","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Flintshire","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","-0.349","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Gateshead","time_period","2000 to 2005","zscore_category","70-85%",NA,NA,NA,NA,"2000 to 2005","-0.806","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Glasgow City","time_period","2000 to 2005","zscore_category","70-85%",NA,NA,NA,NA,"2000 to 2005","-0.821","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Gloucestershire CC","time_period","2000 to 2005","zscore_category","15-30%",NA,NA,NA,NA,"2000 to 2005","0.615","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Greenwich","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","0.221","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Gwynedd","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","-0.489","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Hackney","time_period","2000 to 2005","zscore_category","70-85%",NA,NA,NA,NA,"2000 to 2005","-0.679","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Halton","time_period","2000 to 2005","zscore_category","70-85%",NA,NA,NA,NA,"2000 to 2005","-0.801","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Hammersmith and Fulham","time_period","2000 to 2005","zscore_category","Top 5%",NA,NA,NA,NA,"2000 to 2005","1.625","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Hampshire","time_period","2000 to 2005","zscore_category","15-30%",NA,NA,NA,NA,"2000 to 2005","0.823","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Haringey","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","0.403","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Harrow","time_period","2000 to 2005","zscore_category","Top 5%",NA,NA,NA,NA,"2000 to 2005","1.610","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Hartlepool","time_period","2000 to 2005","zscore_category","85-95%",NA,NA,NA,NA,"2000 to 2005","-1.187","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Havering","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","0.238","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Herefordshire, County of","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","-0.252","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Hertfordshire CC","time_period","2000 to 2005","zscore_category","Top 5%",NA,NA,NA,NA,"2000 to 2005","1.579","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Highland","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","-0.417","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Hillingdon","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","0.339","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Hounslow","time_period","2000 to 2005","zscore_category","15-30%",NA,NA,NA,NA,"2000 to 2005","0.550","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Inverclyde","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","-0.456","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Isle of Anglesey","time_period","2000 to 2005","zscore_category","70-85%",NA,NA,NA,NA,"2000 to 2005","-0.794","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Isle of Wight","time_period","2000 to 2005","zscore_category","70-85%",NA,NA,NA,NA,"2000 to 2005","-0.612","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Islington","time_period","2000 to 2005","zscore_category","15-30%",NA,NA,NA,NA,"2000 to 2005","0.619","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Kensington and Chelsea","time_period","2000 to 2005","zscore_category","Top 5%",NA,NA,NA,NA,"2000 to 2005","2.034","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Kent","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","0.207","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Kingston upon Hull, City of","time_period","2000 to 2005","zscore_category","Bottom 5%",NA,NA,NA,NA,"2000 to 2005","-1.758","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Kingston upon Thames","time_period","2000 to 2005","zscore_category","Top 5%",NA,NA,NA,NA,"2000 to 2005","2.291","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Kirklees","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","-0.403","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Knowsley","time_period","2000 to 2005","zscore_category","85-95%",NA,NA,NA,NA,"2000 to 2005","-1.344","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Lambeth","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","0.396","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Lancashire","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","-0.083","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Leeds","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","0.099","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Leicester","time_period","2000 to 2005","zscore_category","85-95%",NA,NA,NA,NA,"2000 to 2005","-1.372","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Leicestershire CC","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","0.416","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Lewisham","time_period","2000 to 2005","zscore_category","15-30%",NA,NA,NA,NA,"2000 to 2005","0.581","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Lincolnshire CC","time_period","2000 to 2005","zscore_category","70-85%",NA,NA,NA,NA,"2000 to 2005","-0.633","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Liverpool","time_period","2000 to 2005","zscore_category","70-85%",NA,NA,NA,NA,"2000 to 2005","-0.901","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Luton","time_period","2000 to 2005","zscore_category","70-85%",NA,NA,NA,NA,"2000 to 2005","-0.659","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Manchester","time_period","2000 to 2005","zscore_category","85-95%",NA,NA,NA,NA,"2000 to 2005","-1.066","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Medway","time_period","2000 to 2005","zscore_category","70-85%",NA,NA,NA,NA,"2000 to 2005","-0.730","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Merthyr Tydfil","time_period","2000 to 2005","zscore_category","85-95%",NA,NA,NA,NA,"2000 to 2005","-1.202","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Merton","time_period","2000 to 2005","zscore_category","5-15%",NA,NA,NA,NA,"2000 to 2005","1.236","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Middlesbrough","time_period","2000 to 2005","zscore_category","Bottom 5%",NA,NA,NA,NA,"2000 to 2005","-1.623","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Midlothian","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","0.014","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Milton Keynes","time_period","2000 to 2005","zscore_category","15-30%",NA,NA,NA,NA,"2000 to 2005","0.515","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Monmouthshire","time_period","2000 to 2005","zscore_category","5-15%",NA,NA,NA,NA,"2000 to 2005","1.389","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Moray","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","0.088","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Na h-Eileanan Siar","time_period","2000 to 2005","zscore_category","70-85%",NA,NA,NA,NA,"2000 to 2005","-0.975","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Neath Port Talbot","time_period","2000 to 2005","zscore_category","85-95%",NA,NA,NA,NA,"2000 to 2005","-1.108","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Newcastle upon Tyne","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","-0.090","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Newham","time_period","2000 to 2005","zscore_category","Bottom 5%",NA,NA,NA,NA,"2000 to 2005","-1.621","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","Newport","time_period","2000 to 2005","zscore_category","30-70%",NA,NA,NA,NA,"2000 to 2005","-0.226","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","North Ayrshire mainland","time_period","2000 to 2005","zscore_category","70-85%",NA,NA,NA,NA,"2000 to 2005","-0.708","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","North East Lincolnshire","time_period","2000 to 2005","zscore_category","85-95%",NA,NA,NA,NA,"2000 to 2005","-1.431","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","North Lanarkshire","time_period","2000 to 2005","zscore_category","70-85%",NA,NA,NA,NA,"2000 to 2005","-0.818","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
"ci1","Conditions of Childhood","composite_index","NA","Local Authority","North Lincolnshire","time_period","2000 to 2005","zscore_category","85-95%",NA,NA,NA,NA,"2000 to 2005","-1.347","NA","NA",NA,"z-score",NA,NA,NA,NA,NA
