Area_name,Area_code,Time_period,Sample_size,Value,Ind_code,Ind_name,Area_type,Category_type,Category,SEB,LCI,UCI,SE,Unit,Value_note
Scotland,S92000003,2000,"1,916",3.184,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Northern Ireland,N92000002,2000,587,3.167364017,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
England,E92000001,1999,"18,194",4.030952381,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Wales,W92000004,1999,898,3.6,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Scotland,S92000003,1999,"1,848",3.782082324,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Northern Ireland,N92000002,1999,560,3.656641604,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
England,E92000001,1998,"17,839",4.075,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Wales,W92000004,1998,864,3.632545932,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Scotland,S92000003,1998,"1,913",3.757575758,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Northern Ireland,N92000002,1998,552,3.729442971,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
England,E92000001,1997,"17,564",4.041775457,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Wales,W92000004,1997,835,3.689373297,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Scotland,S92000003,1997,"1,891",3.860589812,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Northern Ireland,N92000002,1997,568,3.911931818,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
