"Region","2018 to 2024","","2012 to 2017","","2006 to 2011","","2000 to 2005",""
"Central Bedfordshire","0.189","Middling","0.102","Middling","0.103","Middling","-0.073","Middling"
"Ceredigion","0.042","Middling","-0.505","Lower Middling","0.082","Middling","0.302","Middling"
"Cheshire East","0.219","Middling","0.655","Upper Middling","0.785","Upper Middling","0.732","Upper Middling"
"Cheshire West and Chester","1.2","Favourable","0.609","Upper Middling","0.513","Upper Middling","0.505","Upper Middling"
"City of Edinburgh","1.695","Most Favourable","2.09","Most Favourable","1.462","Favourable","1.9","Most Favourable"
"Clackmannanshire","-0.563","Lower Middling","-0.259","Middling","-0.385","Middling","-0.335","Middling"
"Conwy","-0.427","Middling","-0.74","Lower Middling","-0.702","Lower Middling","-0.185","Middling"
"Cornwall and Isles of Scilly","-0.744","Lower Middling","-0.777","Lower Middling","-0.87","Lower Middling","-0.805","Lower Middling"
"Coventry","0.307","Middling","-0.473","Middling","0.243","Middling","0.098","Middling"
"Croydon","0.621","Upper Middling","0.348","Middling","0.272","Middling","0.097","Middling"
"Cumbria","-0.604","Lower Middling","-0.477","Middling","-0.555","Lower Middling","-0.385","Middling"
"Darlington","-0.706","Lower Middling","-0.641","Lower Middling","-0.129","Middling","-0.452","Middling"
"Denbighshire","-0.759","Lower Middling","-0.694","Lower Middling","-0.942","Lower Middling","-0.674","Lower Middling"
"Derby","-0.142","Middling","-0.337","Middling","0.314","Middling","-0.382","Middling"
"Derbyshire","-0.512","Lower Middling","-0.285","Middling","-0.273","Middling","-0.633","Lower Middling"
"Devon CC","-0.307","Middling","-0.149","Middling","-0.279","Middling","-0.197","Middling"
"Doncaster","-1.142","Unfavourable","-1.302","Unfavourable","-1.009","Unfavourable","-1.033","Unfavourable"
"Dorset","-0.664","Lower Middling","-0.088","Middling","-0.279","Middling","-0.461","Middling"
"Dudley","-0.774","Lower Middling","-0.604","Lower Middling","-0.791","Lower Middling","-0.694","Lower Middling"
"Dumfries and Galloway","-0.98","Lower Middling","-1.181","Unfavourable","-1.14","Unfavourable","-0.79","Lower Middling"
"Dundee City","0.333","Middling","0.067","Middling","-0.259","Middling","-0.414","Middling"
"Durham","-0.658","Lower Middling","-0.921","Lower Middling","-0.53","Lower Middling","-0.657","Lower Middling"
"Ealing","0.96","Upper Middling","0.531","Upper Middling","0.843","Upper Middling","1.224","Favourable"
"East Ayrshire","-1.128","Unfavourable","-1.201","Unfavourable","-1.056","Unfavourable","-0.956","Lower Middling"
"East Dunbartonshire","0.62","Upper Middling","-0.022","Middling","0.378","Middling","0.654","Upper Middling"
"East Lothian","0.301","Middling","0.031","Middling","-0.294","Middling","-0.362","Middling"
"East Renfrewshire","0.358","Middling","0.542","Upper Middling","0.563","Upper Middling","0.576","Upper Middling"
"East Riding of Yorkshire","-0.557","Lower Middling","-0.468","Middling","-0.028","Middling","-0.395","Middling"
"East Sussex CC","-0.288","Middling","-0.5","Lower Middling","-0.463","Middling","-0.241","Middling"
"Enfield","0.15","Middling","0.487","Middling","0.063","Middling","0.141","Middling"
"Essex","-0.451","Middling","-0.367","Middling","-0.424","Middling","-0.29","Middling"
"Falkirk","-0.289","Middling","-0.347","Middling","-0.342","Middling","-0.863","Lower Middling"
"Fife","-0.195","Middling","-0.077","Middling","-0.244","Middling","-0.256","Middling"
"Flintshire","-0.392","Middling","-0.533","Lower Middling","-0.471","Middling","-0.59","Lower Middling"
"Gateshead","-0.706","Lower Middling","-0.639","Lower Middling","-0.484","Middling","-0.543","Lower Middling"
"Glasgow City","0.626","Upper Middling","0.474","Middling","0.46","Middling","0.5","Upper Middling"
"Gloucestershire CC","0.217","Middling","0.295","Middling","0.306","Middling","0.24","Middling"
"Greenwich","0.714","Upper Middling","0.718","Upper Middling","0.848","Upper Middling","0.43","Middling"
"Gwynedd","-0.389","Middling","-0.416","Middling","-0.522","Lower Middling","-0.664","Lower Middling"
"Hackney","2.072","Most Favourable","1.346","Favourable","1.146","Favourable","1.404","Favourable"
"Halton","-0.499","Middling","-0.818","Lower Middling","-0.557","Lower Middling","-0.611","Lower Middling"
"Hammersmith and Fulham","2.13","Most Favourable","1.707","Most Favourable","1.743","Most Favourable","2.058","Most Favourable"
"Hampshire","0.041","Middling","0.539","Upper Middling","0.299","Middling","0.426","Middling"
"Haringey","1.458","Favourable","1.091","Favourable","1.076","Favourable","1.497","Favourable"
"Harrow","0.968","Upper Middling","0.807","Upper Middling","0.961","Upper Middling","1.193","Favourable"
"Hartlepool","-0.957","Lower Middling","-1.255","Unfavourable","-0.593","Lower Middling","-1.032","Unfavourable"
"Havering","-0.148","Middling","-0.188","Middling","-0.695","Lower Middling","-0.655","Lower Middling"
"Herefordshire, County of","-0.499","Middling","-0.454","Middling","-0.562","Lower Middling","-0.744","Lower Middling"
"Hertfordshire CC","0.47","Middling","0.613","Upper Middling","0.843","Upper Middling","0.724","Upper Middling"
"Highland","-0.684","Lower Middling","-0.652","Lower Middling","-0.423","Middling","-0.492","Middling"
"Hillingdon","0.641","Upper Middling","0.623","Upper Middling","0.207","Middling","0.46","Middling"
"Hounslow","1.135","Favourable","0.929","Upper Middling","1.04","Favourable","0.577","Upper Middling"
"Inverclyde","-0.553","Lower Middling","-0.44","Middling","-0.583","Lower Middling","-0.346","Middling"
"Isle of Anglesey","-0.657","Lower Middling","-0.356","Middling","-0.4","Middling","-0.065","Middling"
"Isle of Wight","-0.649","Lower Middling","-0.06","Middling","-0.71","Lower Middling","-1.096","Unfavourable"
"Islington","2.829","Most Favourable","2.641","Most Favourable","3.147","Most Favourable","2.993","Most Favourable"
"Kensington and Chelsea","1.494","Favourable","1.468","Favourable","1.954","Most Favourable","2.149","Most Favourable"
"Kent","-0.285","Middling","-0.282","Middling","-0.256","Middling","-0.247","Middling"
"Kingston upon Hull, City of","-0.977","Lower Middling","-0.836","Lower Middling","-0.669","Lower Middling","-0.791","Lower Middling"
"Kingston upon Thames","1.387","Favourable","1.216","Favourable","1.318","Favourable","1.088","Favourable"
"Kirklees","-0.233","Middling","-0.586","Lower Middling","-0.417","Middling","-0.452","Middling"
"Knowsley","-0.857","Lower Middling","-1.042","Unfavourable","-1.03","Unfavourable","-1.171","Unfavourable"
"Lambeth","1.887","Most Favourable","1.83","Most Favourable","1.403","Favourable","1.386","Favourable"
"Lancashire","-0.434","Middling","-0.273","Middling","-0.295","Middling","-0.273","Middling"
"Leeds","0.38","Middling","0.278","Middling","0.112","Middling","0.04","Middling"
"Leicester","-0.211","Middling","-0.601","Lower Middling","-0.445","Middling","-0.049","Middling"
"Leicestershire CC","0.011","Middling","-0.032","Middling","-0.126","Middling","0.072","Middling"
"Lewisham","1.278","Favourable","1.272","Favourable","0.703","Upper Middling","0.683","Upper Middling"
"Lincolnshire CC","-0.832","Lower Middling","-0.804","Lower Middling","-0.812","Lower Middling","-0.839","Lower Middling"
"Liverpool","-0.012","Middling","-0.055","Middling","-0.412","Middling","-0.486","Middling"
"Luton","-0.496","Middling","-0.538","Lower Middling","-0.692","Lower Middling","-0.461","Middling"
"Manchester","0.822","Upper Middling","0.613","Upper Middling","0.976","Upper Middling","0.775","Upper Middling"
"Medway","-0.629","Lower Middling","-0.636","Lower Middling","-0.652","Lower Middling","-0.755","Lower Middling"
"Merthyr Tydfil","-1.061","Unfavourable","-0.957","Lower Middling","-0.975","Lower Middling","-1.116","Unfavourable"
"Merton","1.162","Favourable","0.927","Upper Middling","1.479","Favourable","1.33","Favourable"
"Middlesbrough","-0.743","Lower Middling","-1.024","Unfavourable","-0.767","Lower Middling","-0.632","Lower Middling"
"Midlothian","-0.124","Middling","-0.586","Lower Middling","-0.448","Middling","-0.449","Middling"
"Milton Keynes","0.683","Upper Middling","0.92","Upper Middling","0.647","Upper Middling","0.666","Upper Middling"
"Monmouthshire","-0.045","Middling","0.474","Middling","0.472","Middling","0.113","Middling"
"Moray","-0.889","Lower Middling","-0.899","Lower Middling","-0.914","Lower Middling","-0.83","Lower Middling"
"Na h-Eileanan Siar","-0.987","Lower Middling","-0.294","Middling","-0.669","Lower Middling","-1.095","Unfavourable"
"Neath Port Talbot","-0.825","Lower Middling","-1.197","Unfavourable","-0.988","Lower Middling","-0.877","Lower Middling"
"Newcastle upon Tyne","0.29","Middling","0.487","Middling","0.33","Middling","0.47","Middling"
"Newham","0.312","Middling","-0.208","Middling","-0.173","Middling","-0.448","Middling"
"Newport","-0.368","Middling","-0.341","Middling","-0.257","Middling","0.117","Middling"
"North Ayrshire mainland","-1.065","Unfavourable","-1.057","Unfavourable","-1.083","Unfavourable","-0.83","Lower Middling"
"North East Lincolnshire","-1.378","Unfavourable","-1.383","Unfavourable","-0.896","Lower Middling","-1.032","Unfavourable"
"North Lanarkshire","-0.942","Lower Middling","-0.834","Lower Middling","-0.867","Lower Middling","-1.094","Unfavourable"
"North Lincolnshire","-1.139","Unfavourable","-0.919","Lower Middling","-0.704","Lower Middling","-0.721","Lower Middling"
"North Northamptonshire","-0.728","Lower Middling","-0.636","Lower Middling","-0.573","Lower Middling","-0.721","Lower Middling"
"North Somerset","0.023","Middling","0.184","Middling","0.052","Middling","0.139","Middling"
"North Tyneside","-0.099","Middling","-0.145","Middling","-0.009","Middling","-0.336","Middling"
"North Yorkshire CC","-0.377","Middling","-0.242","Middling","-0.305","Middling","-0.245","Middling"
"Northern Ireland","-0.437","Middling","-0.431","Middling","-0.44","Middling","-0.434","Middling"
"Northumberland","-0.453","Middling","-0.651","Lower Middling","-0.398","Middling","-0.566","Lower Middling"
"Norwich and Norfolk","-0.684","Lower Middling","-0.411","Middling","-0.566","Lower Middling","-0.566","Lower Middling"
"Nottingham","-0.014","Middling","-0.393","Middling","-0.228","Middling","0.018","Middling"
"Nottinghamshire","-0.132","Middling","-0.259","Middling","-0.14","Middling","-0.292","Middling"
"Oldham","-0.899","Lower Middling","-0.944","Lower Middling","-0.839","Lower Middling","-0.957","Lower Middling"
"Orkney Islands","-0.784","Lower Middling","-0.739","Lower Middling","-0.313","Middling","-0.695","Lower Middling"
"Oxfordshire CC","1.682","Most Favourable","1.605","Most Favourable","1.46","Favourable","1.53","Most Favourable"
"Pembrokeshire","-0.993","Lower Middling","-0.911","Lower Middling","-1.156","Unfavourable","-1.151","Unfavourable"
"Perth and Kinross","-0.188","Middling","-0.032","Middling","-0.306","Middling","-0.329","Middling"
"Peterborough","-0.477","Middling","-0.219","Middling","-0.51","Lower Middling","-0.002","Middling"
"Plymouth","-0.659","Lower Middling","-0.705","Lower Middling","-0.275","Middling","-0.775","Lower Middling"
"Portsmouth","-0.334","Middling","0.008","Middling","-0.286","Middling","0.248","Middling"
"Powys","-0.606","Lower Middling","-0.59","Lower Middling","-0.313","Middling","-0.339","Middling"
"Reading","1.581","Most Favourable","1.573","Most Favourable","1.617","Most Favourable","1.739","Most Favourable"
"Redbridge","0.525","Upper Middling","0.878","Upper Middling","0.719","Upper Middling","0.444","Middling"
"Redcar and Cleveland","-1.209","Unfavourable","-0.728","Lower Middling","-0.628","Lower Middling","-0.857","Lower Middling"
"Renfrewshire","-0.478","Middling","-0.419","Middling","-0.276","Middling","-0.122","Middling"
"Rhondda Cynon Taf","-0.711","Lower Middling","-0.86","Lower Middling","-0.742","Lower Middling","-0.662","Lower Middling"
"Richmond upon Thames","2.063","Most Favourable","1.91","Most Favourable","1.962","Most Favourable","2.339","Most Favourable"
"Rochdale","-0.97","Lower Middling","-0.863","Lower Middling","-0.82","Lower Middling","-0.78","Lower Middling"
"Rotherham","-0.799","Lower Middling","-1.13","Unfavourable","-0.845","Lower Middling","-0.904","Lower Middling"
"Rutland","0.254","Middling","0.298","Middling","0.494","Middling","0.089","Middling"
"Salford","-0.087","Middling","-0.603","Lower Middling","-0.583","Lower Middling","-0.346","Middling"
"Sandwell","-1.025","Unfavourable","-1.184","Unfavourable","-0.878","Lower Middling","-0.855","Lower Middling"
"Scottish Borders","-0.524","Lower Middling","-0.644","Lower Middling","-0.684","Lower Middling","-0.625","Lower Middling"
"Sefton","-0.558","Lower Middling","-0.424","Middling","-0.531","Lower Middling","-0.717","Lower Middling"
"Sheffield","0.547","Upper Middling","0.653","Upper Middling","0.32","Middling","0.355","Middling"
"Shetland Islands","-0.982","Lower Middling","0.091","Middling","-0.475","Middling","-0.188","Middling"
"Shropshire","-0.414","Middling","-0.566","Lower Middling","-0.358","Middling","-0.293","Middling"
"Slough","0.663","Upper Middling","0.067","Middling","0.265","Middling","0.811","Upper Middling"
"Solihull","0.34","Middling","0.358","Middling","0.011","Middling","0.547","Upper Middling"
"Somerset CC","-0.554","Lower Middling","-0.496","Middling","-0.358","Middling","-0.317","Middling"
"South Ayrshire","-0.781","Lower Middling","-0.573","Lower Middling","-0.613","Lower Middling","-0.484","Middling"
"South Gloucestershire","0.417","Middling","0.183","Middling","0.158","Middling","0.389","Middling"
"South Lanarkshire","-0.769","Lower Middling","-0.657","Lower Middling","-0.45","Middling","-0.327","Middling"
"South Tyneside","-0.732","Lower Middling","-0.827","Lower Middling","-0.918","Lower Middling","-0.787","Lower Middling"
"Southampton","0.516","Upper Middling","0.541","Upper Middling","0.962","Upper Middling","0.68","Upper Middling"
"Southend-on-Sea","-0.738","Lower Middling","-0.191","Middling","-0.496","Middling","-0.732","Lower Middling"
"Southwark","1.817","Most Favourable","2.036","Most Favourable","1.862","Most Favourable","1.138","Favourable"
"St Helens","-0.811","Lower Middling","-0.959","Lower Middling","-0.789","Lower Middling","-0.507","Lower Middling"
"Staffordshire CC","-0.395","Middling","-0.466","Middling","-0.471","Middling","-0.506","Lower Middling"
"Stirling","0.77","Upper Middling","0.407","Middling","0.298","Middling","0.781","Upper Middling"
"Stockport","0.173","Middling","0.458","Middling","0.042","Middling","0.058","Middling"
"Stockton-on-Tees","-0.593","Lower Middling","-0.649","Lower Middling","-0.536","Lower Middling","-0.522","Lower Middling"
"Stoke-on-Trent","-0.829","Lower Middling","-0.906","Lower Middling","-0.979","Lower Middling","-0.912","Lower Middling"
"Suffolk CC","-0.75","Lower Middling","-0.393","Middling","-0.426","Middling","-0.195","Middling"
"Sunderland","-0.977","Lower Middling","-0.878","Lower Middling","-0.909","Lower Middling","-0.909","Lower Middling"
"Surrey","0.785","Upper Middling","1.061","Favourable","0.869","Upper Middling","1.196","Favourable"
"Sutton","1.006","Favourable","0.478","Middling","0.231","Middling","0.277","Middling"
"Swansea","0.162","Middling","-0.08","Middling","0.077","Middling","-0.007","Middling"
"Swindon","0.341","Middling","0.501","Upper Middling","0.309","Middling","0.647","Upper Middling"
"Tameside","-0.585","Lower Middling","-0.867","Lower Middling","-1.156","Unfavourable","-0.746","Lower Middling"
"Telford and Wrekin","-0.393","Middling","-0.413","Middling","-0.32","Middling","-0.725","Lower Middling"
"Thurrock","-0.514","Lower Middling","-0.491","Middling","-0.985","Lower Middling","-0.864","Lower Middling"
"Torbay","-0.94","Lower Middling","-0.948","Lower Middling","-1.027","Unfavourable","-0.895","Lower Middling"
"Torfaen","-0.896","Lower Middling","-1.071","Unfavourable","-0.843","Lower Middling","-0.519","Lower Middling"
"Tower Hamlets","2.496","Most Favourable","2.97","Most Favourable","2.669","Most Favourable","2.343","Most Favourable"
"Trafford","0.973","Upper Middling","0.855","Upper Middling","0.556","Upper Middling","0.54","Upper Middling"
"Vale of Glamorgan","0.24","Middling","0.405","Middling","0.028","Middling","0.013","Middling"
"Wakefield","-0.753","Lower Middling","-0.9","Lower Middling","-1.041","Unfavourable","-0.688","Lower Middling"
"Walsall","-0.923","Lower Middling","-1.089","Unfavourable","-0.783","Lower Middling","-1.05","Unfavourable"
"Waltham Forest","0.446","Middling","-0.324","Middling","0.003","Middling","-0.201","Middling"
"Wandsworth","1.664","Most Favourable","1.874","Most Favourable","1.968","Most Favourable","1.388","Favourable"
"Warrington","0.092","Middling","0.345","Middling","0.254","Middling","-0.105","Middling"
"Warwickshire CC","0.675","Upper Middling","0.429","Middling","0.022","Middling","0.196","Middling"
"West Berkshire","1.197","Favourable","0.544","Upper Middling","0.874","Upper Middling","0.825","Upper Middling"
"West Dunbartonshire","-0.915","Lower Middling","-0.666","Lower Middling","-0.658","Lower Middling","-0.856","Lower Middling"
"West Lothian","0.055","Middling","0.028","Middling","-0.226","Middling","-0.356","Middling"
"West Northamptonshire","-0.189","Middling","-0.353","Middling","-0.318","Middling","-0.192","Middling"
"West Sussex","-0.268","Middling","-0.131","Middling","0.037","Middling","-0.026","Middling"
"Westminster","5.162","Most Favourable","4.696","Most Favourable","5.371","Most Favourable","4.798","Most Favourable"
"Wigan","-0.684","Lower Middling","-0.817","Lower Middling","-0.94","Lower Middling","-0.818","Lower Middling"
"Wiltshire","0.061","Middling","0.427","Middling","0.214","Middling","0.087","Middling"
"Windsor and Maidenhead","0.955","Upper Middling","1.09","Favourable","0.75","Upper Middling","1.536","Most Favourable"
"Wirral","-0.668","Lower Middling","-0.553","Lower Middling","-0.32","Middling","-0.21","Middling"
"Wokingham","1.439","Favourable","1.462","Favourable","1.673","Most Favourable","0.819","Upper Middling"
"Wolverhampton","-0.684","Lower Middling","-0.836","Lower Middling","-0.604","Lower Middling","-0.728","Lower Middling"
"Worcestershire CC","-0.376","Middling","-0.185","Middling","-0.194","Middling","-0.185","Middling"
"Wrexham","-0.881","Lower Middling","-0.819","Lower Middling","-0.844","Lower Middling","-0.751","Lower Middling"
"York","0.917","Upper Middling","0.803","Upper Middling","0.282","Middling","0.811","Upper Middling"
