"region_fullname","childhood_conditions_group_id_2000_to_2005","childhood_conditions_group_id_2006_to_2011","childhood_conditions_group_id_2012_to_2017","childhood_conditions_group_id_2018_to_2024","childhood_conditions_group_name_2000_to_2005","childhood_conditions_group_name_2006_to_2011","childhood_conditions_group_name_2012_to_2017","childhood_conditions_group_name_2018_to_2024","labour_market_opportunities_group_id_2000_to_2005","labour_market_opportunities_group_id_2006_to_2011","labour_market_opportunities_group_id_2012_to_2017","labour_market_opportunities_group_id_2018_to_2024","labour_market_opportunities_group_name_2000_to_2005","labour_market_opportunities_group_name_2006_to_2011","labour_market_opportunities_group_name_2012_to_2017","labour_market_opportunities_group_name_2018_to_2024","innovation_and_growth_group_id_2000_to_2005","innovation_and_growth_group_id_2006_to_2011","innovation_and_growth_group_id_2012_to_2017","innovation_and_growth_group_id_2018_to_2024","innovation_and_growth_group_name_2000_to_2005","innovation_and_growth_group_name_2006_to_2011","innovation_and_growth_group_name_2012_to_2017","innovation_and_growth_group_name_2018_to_2024","promising_prospects_group_id_2018_to_2020","promising_prospects_group_id_2021_to_2024","promising_prospects_group_name_2018_to_2020","promising_prospects_group_name_2021_to_2024","region_url"
"Ceredigion","4","3","3","4","Middling","Lower Middling","Lower Middling","Middling","2","2","2","3","Unfavourable","Unfavourable","Unfavourable","Lower Middling","4","4","3","4","Middling","Middling","Lower Middling","Middling","3","3","Lower Middling","Lower Middling","ceredigion"
"Cheshire East","6","6","6","5","Favourable","Favourable","Favourable","Upper Middling","4","4","4","4","Middling","Middling","Middling","Middling","5","5","5","4","Upper Middling","Upper Middling","Upper Middling","Middling","5","5","Upper Middling","Upper Middling","cheshire_east"
"Cheshire West and Chester","5","5","5","7","Upper Middling","Upper Middling","Upper Middling","Most Favourable","4","4","4","4","Middling","Middling","Middling","Middling","5","5","5","6","Upper Middling","Upper Middling","Upper Middling","Favourable","4","4","Middling","Middling","cheshire_west_and_chester"
"City of Edinburgh","7","7","7","7","Most Favourable","Most Favourable","Most Favourable","Most Favourable","5","5","6","5","Upper Middling","Upper Middling","Favourable","Upper Middling","7","6","7","7","Most Favourable","Favourable","Most Favourable","Most Favourable","4","6","Middling","Favourable","city_of_edinburgh"
"Clackmannanshire","4","4","3","3","Middling","Middling","Lower Middling","Lower Middling","3","3","4","3","Lower Middling","Lower Middling","Middling","Lower Middling","4","4","4","3","Middling","Middling","Middling","Lower Middling","3","3","Lower Middling","Lower Middling","clackmannanshire"
"Conwy","4","4","3","2","Middling","Middling","Lower Middling","Unfavourable","3","3","2","4","Lower Middling","Lower Middling","Unfavourable","Middling","4","3","3","4","Middling","Lower Middling","Lower Middling","Middling","4","4","Middling","Middling","conwy"
"Cornwall and Isles of Scilly","3","4","4","3","Lower Middling","Middling","Middling","Lower Middling","2","3","3","2","Unfavourable","Lower Middling","Lower Middling","Unfavourable","3","3","3","3","Lower Middling","Lower Middling","Lower Middling","Lower Middling","2","3","Unfavourable","Lower Middling","cornwall_and_isles_of_scilly"
"Coventry","4","3","3","3","Middling","Lower Middling","Lower Middling","Lower Middling","4","3","3","4","Middling","Lower Middling","Lower Middling","Middling","4","4","4","4","Middling","Middling","Middling","Middling","3","3","Lower Middling","Lower Middling","coventry"
"Croydon","5","4","5","5","Upper Middling","Middling","Upper Middling","Upper Middling","6","6","4","5","Favourable","Favourable","Middling","Upper Middling","4","4","4","5","Middling","Middling","Middling","Upper Middling","5","5","Upper Middling","Upper Middling","croydon"
"Cumbria","3","4","3","3","Lower Middling","Middling","Lower Middling","Lower Middling","3","3","4","3","Lower Middling","Lower Middling","Middling","Lower Middling","4","3","4","3","Middling","Lower Middling","Middling","Lower Middling","3","2","Lower Middling","Unfavourable","cumbria"
"Darlington","3","4","4","4","Lower Middling","Middling","Middling","Middling","3","3","4","3","Lower Middling","Lower Middling","Middling","Lower Middling","4","4","3","3","Middling","Middling","Lower Middling","Lower Middling","3","3","Lower Middling","Lower Middling","darlington"
"Denbighshire","4","4","3","2","Middling","Middling","Lower Middling","Unfavourable","3","3","2","3","Lower Middling","Lower Middling","Unfavourable","Lower Middling","3","3","3","3","Lower Middling","Lower Middling","Lower Middling","Lower Middling","4","3","Middling","Lower Middling","denbighshire"
