"Region","2018 to 2024","","2012 to 2017","","2006 to 2011","","2000 to 2005",""
"","Index of 'labour market opportunities for young people' ('Z-scores')","Group","Index of 'labour market opportunities for young people' ('Z-scores')","Group","Index of 'labour market opportunities for young people' ('Z-scores')","Group","Index of 'labour market opportunities for young people' ('Z-scores')","Group"
"Isle of Wight","-0.651","Lower Middling","-1.356","Unfavourable","-0.889","Lower Middling","-0.82","Lower Middling"
"Islington","2.911","Most Favourable","3.274","Most Favourable","2.633","Most Favourable","2.304","Most Favourable"
"Kensington and Chelsea","1.886","Most Favourable","1.706","Most Favourable","3.449","Most Favourable","2.871","Most Favourable"
"Kent","-0.601","Lower Middling","-0.149","Middling","-0.313","Middling","0.101","Middling"
"Kingston upon Hull, City of","-0.928","Lower Middling","-0.52","Lower Middling","-1.277","Unfavourable","-1.279","Unfavourable"
"Kingston upon Thames","0.762","Upper Middling","0.121","Middling","0.594","Upper Middling","1.723","Most Favourable"
"Kirklees","-0.177","Middling","-0.664","Lower Middling","-0.509","Lower Middling","-0.19","Middling"
"Knowsley","-0.732","Lower Middling","-0.644","Lower Middling","-0.669","Lower Middling","-0.673","Lower Middling"
"Lambeth","4.134","Most Favourable","4.191","Most Favourable","2.849","Most Favourable","2.168","Most Favourable"
"Lancashire","-0.748","Lower Middling","-0.305","Middling","-0.566","Lower Middling","-0.324","Middling"
"Leeds","0.706","Upper Middling","0.512","Upper Middling","0.207","Middling","0.056","Middling"
"Leicester","-0.304","Middling","-0.652","Lower Middling","-0.983","Lower Middling","-0.742","Lower Middling"
"Leicestershire CC","-0.008","Middling","0.296","Middling","-0.112","Middling","-0.148","Middling"
"Lewisham","3.097","Most Favourable","2.561","Most Favourable","1.026","Favourable","1.568","Most Favourable"
"Lincolnshire CC","-0.934","Lower Middling","-0.643","Lower Middling","-0.825","Lower Middling","-1.026","Unfavourable"
"Liverpool","0.145","Middling","-0.896","Lower Middling","-0.49","Middling","-0.653","Lower Middling"
"Luton","-0.27","Middling","-0.531","Lower Middling","-0.434","Middling","0.186","Middling"
"Manchester","0.398","Middling","-0.091","Middling","-0.09","Middling","-0.117","Middling"
"Medway","0.287","Middling","0.56","Upper Middling","-0.268","Middling","0.183","Middling"
"Merthyr Tydfil","-0.791","Lower Middling","-0.061","Middling","-1.071","Unfavourable","-1.075","Unfavourable"
"Merton","2.203","Most Favourable","1.481","Favourable","1.752","Most Favourable","2.633","Most Favourable"
"Middlesbrough","-1.127","Unfavourable","-0.606","Lower Middling","-1.062","Unfavourable","-1.198","Unfavourable"
"Midlothian","-0.321","Middling","-0.097","Middling","0.132","Middling","0.025","Middling"
"Milton Keynes","0.537","Upper Middling","1.318","Favourable","0.663","Upper Middling","0.564","Upper Middling"
"Monmouthshire","-0.288","Middling","-1.308","Unfavourable","0.14","Middling","-0.647","Lower Middling"
"Moray","-1.259","Unfavourable","-1.168","Unfavourable","-0.74","Lower Middling","0.002","Middling"
"Na h-Eileanan Siar","-1.099","Unfavourable","-1.03","Unfavourable","-0.607","Lower Middling","-0.898","Lower Middling"
"Neath Port Talbot","-1.031","Unfavourable","-1.258","Unfavourable","-0.568","Lower Middling","-0.922","Lower Middling"
"Newcastle upon Tyne","0.421","Middling","-0.257","Middling","-0.542","Lower Middling","-0.276","Middling"
"Newham","1.44","Favourable","0.361","Middling","-0.506","Lower Middling","-0.316","Middling"
"Newport","-0.052","Middling","-0.148","Middling","-0.485","Middling","-0.414","Middling"
"North Ayrshire mainland","-1.041","Unfavourable","-0.968","Lower Middling","-1.3","Unfavourable","-1.112","Unfavourable"
"North East Lincolnshire","-0.396","Middling","-0.424","Middling","-1.163","Unfavourable","-1.678","Least Favourable"
"North Lanarkshire","-0.724","Lower Middling","-0.597","Lower Middling","-0.558","Lower Middling","-0.571","Lower Middling"
"North Lincolnshire","-1.228","Unfavourable","-1.295","Unfavourable","-0.76","Lower Middling","-1.001","Unfavourable"
"North Northamptonshire","-0.991","Lower Middling","0.04","Middling","-0.347","Middling","-0.091","Middling"
"North Somerset","0.128","Middling","-0.243","Middling","-0.134","Middling","0.109","Middling"
"North Tyneside","-0.534","Lower Middling","-0.078","Middling","-0.01","Middling","0.043","Middling"
"North Yorkshire CC","-0.321","Middling","-0.44","Middling","-0.668","Lower Middling","-0.064","Middling"
"Northern Ireland","-0.948","Lower Middling","-1.065","Unfavourable","-0.849","Lower Middling","-0.976","Lower Middling"
"Northumberland","-0.861","Lower Middling","0.115","Middling","-0.219","Middling","-0.83","Lower Middling"
"Norwich and Norfolk","-0.724","Lower Middling","-0.37","Middling","-0.347","Middling","-0.392","Middling"
"Nottingham","-0.213","Middling","-0.362","Middling","-0.611","Lower Middling","-0.564","Lower Middling"
"Nottinghamshire","0.054","Middling","-0.648","Lower Middling","-0.616","Lower Middling","-0.494","Middling"
"Oldham","-0.573","Lower Middling","-0.485","Middling","-0.752","Lower Middling","-0.649","Lower Middling"
"Orkney Islands","-0.808","Lower Middling","-0.509","Lower Middling","-0.945","Lower Middling","-0.678","Lower Middling"
"Oxfordshire CC","0.457","Middling","1.294","Favourable","0.468","Middling","0.911","Upper Middling"
"Pembrokeshire","-0.903","Lower Middling","-0.42","Middling","-1.531","Least Favourable","-1.046","Unfavourable"
"Perth and Kinross","-0.915","Lower Middling","-0.771","Lower Middling","-0.508","Lower Middling","0.189","Middling"
"Peterborough","-0.222","Middling","-0.537","Lower Middling","-0.475","Middling","0.532","Upper Middling"
"Plymouth","-0.156","Middling","-0.232","Middling","-0.347","Middling","-0.474","Middling"
"Portsmouth","0.083","Middling","-0.052","Middling","0.42","Middling","-0.023","Middling"
