"Region","2018 to 2024","","2012 to 2017","","2006 to 2011","","2000 to 2005",""
"","Index of 'conditions of childhood' ('Z-scores')","Group","Index of 'conditions of childhood' ('Z-scores')","Group","Index of 'conditions of childhood' ('Z-scores')","Group","Index of 'conditions of childhood' ('Z-scores')","Group"
"Luton","-1.054","Unfavourable","-1.11","Unfavourable","-1.162","Unfavourable","-0.659","Lower Middling"
"Manchester","-0.601","Lower Middling","-0.711","Lower Middling","-1.05","Unfavourable","-1.066","Unfavourable"
"Medway","-0.189","Middling","-0.799","Lower Middling","-0.754","Lower Middling","-0.73","Lower Middling"
"Merthyr Tydfil","-1.153","Unfavourable","-1.181","Unfavourable","-1.543","Least Favourable","-1.202","Unfavourable"
"Merton","1.268","Favourable","2.014","Most Favourable","1.204","Favourable","1.236","Favourable"
"Middlesbrough","-1.751","Least Favourable","-1.27","Unfavourable","-1.137","Unfavourable","-1.623","Least Favourable"
"Midlothian","0.726","Upper Middling","-0.015","Middling","0.013","Middling","0.014","Middling"
"Milton Keynes","0.689","Upper Middling","0.887","Upper Middling","0.402","Middling","0.515","Upper Middling"
"Monmouthshire","0.425","Middling","0.857","Upper Middling","0.723","Upper Middling","1.389","Favourable"
"Moray","-0.908","Lower Middling","-0.334","Middling","-0.529","Lower Middling","0.088","Middling"
"Na h-Eileanan Siar","0.003","Middling","0.317","Middling","-0.082","Middling","-0.975","Lower Middling"
"Neath Port Talbot","-0.326","Middling","-0.425","Middling","-1.271","Unfavourable","-1.108","Unfavourable"
"Newcastle upon Tyne","-0.341","Middling","-0.425","Middling","-0.509","Lower Middling","-0.09","Middling"
"Newham","-1.031","Unfavourable","-1.274","Unfavourable","-1.616","Least Favourable","-1.621","Least Favourable"
"Newport","-0.831","Lower Middling","-0.572","Lower Middling","-0.177","Middling","-0.226","Middling"
"North Ayrshire mainland","-1.453","Unfavourable","-1.051","Unfavourable","-1.306","Unfavourable","-0.708","Lower Middling"
"North East Lincolnshire","-1.868","Least Favourable","-1.734","Least Favourable","-1.31","Unfavourable","-1.431","Unfavourable"
"North Lanarkshire","-1.046","Unfavourable","-0.565","Lower Middling","-0.574","Lower Middling","-0.818","Lower Middling"
"North Lincolnshire","-1.432","Unfavourable","-1.04","Unfavourable","-1.098","Unfavourable","-1.347","Unfavourable"
"North Northamptonshire","-0.874","Lower Middling","-0.529","Lower Middling","-0.374","Middling","-0.355","Middling"
"North Somerset","0.573","Upper Middling","0.88","Upper Middling","0.756","Upper Middling","0.962","Upper Middling"
"North Tyneside","-0.175","Middling","-0.099","Middling","-0.112","Middling","0.098","Middling"
"North Yorkshire CC","0.24","Middling","0.38","Middling","0.385","Middling","0.594","Upper Middling"
"Northern Ireland","-0.439","Middling","-0.603","Lower Middling","-0.489","Middling","-0.536","Lower Middling"
"Northumberland","-0.547","Lower Middling","-0.202","Middling","0.249","Middling","-0.235","Middling"
"Norwich and Norfolk","-0.802","Lower Middling","-0.496","Middling","-0.297","Middling","-0.505","Lower Middling"
"Nottingham","-0.938","Lower Middling","-0.963","Lower Middling","-1.05","Unfavourable","-1.324","Unfavourable"
"Nottinghamshire","0.216","Middling","-0.022","Middling","0.077","Middling","-0.068","Middling"
"Oldham","-1.449","Unfavourable","-1.404","Unfavourable","-1.041","Unfavourable","-1.02","Unfavourable"
"Orkney Islands","-0.188","Middling","-0.363","Middling","-0.505","Lower Middling","-0.113","Middling"
"Oxfordshire CC","1.602","Most Favourable","1.598","Most Favourable","1.35","Favourable","1.385","Favourable"
"Pembrokeshire","-1.076","Unfavourable","-0.702","Lower Middling","-1.209","Unfavourable","-0.995","Lower Middling"
"Perth and Kinross","0.434","Middling","0.533","Upper Middling","0.22","Middling","0.968","Upper Middling"
"Peterborough","-0.79","Lower Middling","-0.75","Lower Middling","-0.8","Lower Middling","-0.41","Middling"
"Plymouth","-0.861","Lower Middling","-0.59","Lower Middling","-0.834","Lower Middling","-0.733","Lower Middling"
