"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window","background_label"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower working","profession","Intermediate",,,"2014-2025",20.346,17.304,23.773,414,"Average","3-year moving average","2020 to 2022","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower working","profession","Intermediate",,,"2014-2025",18.191,15.383,21.544,365,"Average","3-year moving average","2021 to 2023","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower working","profession","Intermediate",,,"2014-2025",18.911,16.002,22.283,310,"Average","3-year moving average","2022 to 2024","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Lower working","profession","Intermediate",,,"2014-2025",17.233,14.503,20.446,340,"Average","3-year moving average","2023 to 2025","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower working","profession","Higher working",,,"2014-2025",28.393,25.223,31.729,786,"Average","3-year moving average","2014 to 2016","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower working","profession","Higher working",,,"2014-2025",28.984,25.84,32.371,756,"Average","3-year moving average","2015 to 2017","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower working","profession","Higher working",,,"2014-2025",28.909,25.655,32.335,698,"Average","3-year moving average","2016 to 2018","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower working","profession","Higher working",,,"2014-2025",28.272,25.026,31.719,666,"Average","3-year moving average","2017 to 2019","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower working","profession","Higher working",,,"2014-2025",27.407,24.041,30.931,546,"Average","3-year moving average","2018 to 2020","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower working","profession","Higher working",,,"2014-2025",25.443,22.249,29.02,505,"Average","3-year moving average","2019 to 2021","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower working","profession","Higher working",,,"2014-2025",22.562,19.413,26.123,414,"Average","3-year moving average","2020 to 2022","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower working","profession","Higher working",,,"2014-2025",20.592,17.59,24.032,365,"Average","3-year moving average","2021 to 2023","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower working","profession","Higher working",,,"2014-2025",18.799,15.854,22.115,310,"Average","3-year moving average","2022 to 2024","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Lower working","profession","Higher working",,,"2014-2025",18.949,16.069,22.223,340,"Average","3-year moving average","2023 to 2025","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower working","profession","Lower working",,,"2014-2025",33,29.64,36.416,786,"Average","3-year moving average","2014 to 2016","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower working","profession","Lower working",,,"2014-2025",30.087,26.842,33.438,756,"Average","3-year moving average","2015 to 2017","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower working","profession","Lower working",,,"2014-2025",29.309,26.048,32.755,698,"Average","3-year moving average","2016 to 2018","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower working","profession","Lower working",,,"2014-2025",29.265,25.957,32.716,666,"Average","3-year moving average","2017 to 2019","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower working","profession","Lower working",,,"2014-2025",28.234,24.9,31.856,546,"Average","3-year moving average","2018 to 2020","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower working","profession","Lower working",,,"2014-2025",28.664,25.274,32.292,505,"Average","3-year moving average","2019 to 2021","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower working","profession","Lower working",,,"2014-2025",30.064,26.428,33.758,414,"Average","3-year moving average","2020 to 2022","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower working","profession","Lower working",,,"2014-2025",33.753,30.056,37.546,365,"Average","3-year moving average","2021 to 2023","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower working","profession","Lower working",,,"2014-2025",33.244,29.629,37.139,310,"Average","3-year moving average","2022 to 2024","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Lower working","profession","Lower working",,,"2014-2025",32.51,28.867,36.175,340,"Average","3-year moving average","2023 to 2025","Lower working background"
