"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Higher professional","neet","neet",,,"2014-2025",8.913,7.458,10.623,749,"Average","3-year moving average","2022 to 2024"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Higher professional","neet","neet",,,"2014-2025",9.095,7.672,10.797,860,"Average","3-year moving average","2023 to 2025"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Total","neet","neet",,,"2014-2025",14.047,13.209,14.937,6514,"Average","3-year moving average","2014 to 2016"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Total","neet","neet",,,"2014-2025",13.349,12.523,14.223,6173,"Average","3-year moving average","2015 to 2017"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Total","neet","neet",,,"2014-2025",13.04,12.203,13.926,5694,"Average","3-year moving average","2016 to 2018"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Total","neet","neet",,,"2014-2025",13.059,12.213,13.964,5421,"Average","3-year moving average","2017 to 2019"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Total","neet","neet",,,"2014-2025",13.105,12.258,14.014,4848,"Average","3-year moving average","2018 to 2020"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Total","neet","neet",,,"2014-2025",12.965,12.109,13.858,4723,"Average","3-year moving average","2019 to 2021"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Total","neet","neet",,,"2014-2025",12.604,11.758,13.487,4193,"Average","3-year moving average","2020 to 2022"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Total","neet","neet",,,"2014-2025",13.035,12.169,13.974,3555,"Average","3-year moving average","2021 to 2023"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Total","neet","neet",,,"2014-2025",13.856,12.951,14.797,3006,"Average","3-year moving average","2022 to 2024"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Total","neet","neet",,,"2014-2025",14.385,13.503,15.329,3379,"Average","3-year moving average","2023 to 2025"
