"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower professional","highest_qualification","First degree",,,"2014-2025",37.842,34.425,41.461,677,"Average","3-year moving average","2016 to 2018"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower professional","highest_qualification","First degree",,,"2014-2025",37.996,34.571,41.472,684,"Average","3-year moving average","2017 to 2019"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower professional","highest_qualification","First degree",,,"2014-2025",39.786,36.47,43.24,631,"Average","3-year moving average","2018 to 2020"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower professional","highest_qualification","First degree",,,"2014-2025",40.811,37.38,44.226,613,"Average","3-year moving average","2019 to 2021"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower professional","highest_qualification","First degree",,,"2014-2025",40.229,36.871,43.656,551,"Average","3-year moving average","2020 to 2022"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower professional","highest_qualification","First degree",,,"2014-2025",38.897,35.395,42.483,452,"Average","3-year moving average","2021 to 2023"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower professional","highest_qualification","First degree",,,"2014-2025",40.703,37.128,44.235,394,"Average","3-year moving average","2022 to 2024"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Lower professional","highest_qualification","First degree",,,"2014-2025",40.923,37.437,44.449,435,"Average","3-year moving average","2023 to 2025"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower professional","highest_qualification","Higher degree",,,"2014-2025",15.25,12.75,18.164,691,"Average","3-year moving average","2014 to 2016"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower professional","highest_qualification","Higher degree",,,"2014-2025",17.05,14.48,20.072,684,"Average","3-year moving average","2015 to 2017"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower professional","highest_qualification","Higher degree",,,"2014-2025",16.559,14.014,19.446,677,"Average","3-year moving average","2016 to 2018"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower professional","highest_qualification","Higher degree",,,"2014-2025",17.399,14.898,20.331,685,"Average","3-year moving average","2017 to 2019"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower professional","highest_qualification","Higher degree",,,"2014-2025",17.544,15,20.289,631,"Average","3-year moving average","2018 to 2020"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower professional","highest_qualification","Higher degree",,,"2014-2025",18.934,16.373,21.867,613,"Average","3-year moving average","2019 to 2021"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower professional","highest_qualification","Higher degree",,,"2014-2025",20.551,17.862,23.479,551,"Average","3-year moving average","2020 to 2022"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower professional","highest_qualification","Higher degree",,,"2014-2025",23.41,20.482,26.665,452,"Average","3-year moving average","2021 to 2023"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower professional","highest_qualification","Higher degree",,,"2014-2025",22.86,19.914,26.012,394,"Average","3-year moving average","2022 to 2024"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Lower professional","highest_qualification","Higher degree",,,"2014-2025",22.211,19.343,25.294,435,"Average","3-year moving average","2023 to 2025"
