"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower working","highest_qualification","Further education below degree",,,"2014-2025",5.569,3.993,7.792,414,"Average","3-year moving average","2020 to 2022"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower working","highest_qualification","Further education below degree",,,"2014-2025",6.657,4.863,8.909,365,"Average","3-year moving average","2021 to 2023"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower working","highest_qualification","Further education below degree",,,"2014-2025",7.002,5.192,9.365,310,"Average","3-year moving average","2022 to 2024"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Lower working","highest_qualification","Further education below degree",,,"2014-2025",7.534,5.647,9.853,340,"Average","3-year moving average","2023 to 2025"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower working","highest_qualification","First degree",,,"2014-2025",16.163,13.621,18.968,785,"Average","3-year moving average","2014 to 2016"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower working","highest_qualification","First degree",,,"2014-2025",16.3,13.81,19.171,754,"Average","3-year moving average","2015 to 2017"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower working","highest_qualification","First degree",,,"2014-2025",16.387,13.825,19.322,696,"Average","3-year moving average","2016 to 2018"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower working","highest_qualification","First degree",,,"2014-2025",15.864,13.285,18.754,664,"Average","3-year moving average","2017 to 2019"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower working","highest_qualification","First degree",,,"2014-2025",17.41,14.59,20.472,545,"Average","3-year moving average","2018 to 2020"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower working","highest_qualification","First degree",,,"2014-2025",18.917,15.989,22.087,504,"Average","3-year moving average","2019 to 2021"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower working","highest_qualification","First degree",,,"2014-2025",20.578,17.483,23.979,413,"Average","3-year moving average","2020 to 2022"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower working","highest_qualification","First degree",,,"2014-2025",22.922,19.728,26.421,364,"Average","3-year moving average","2021 to 2023"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower working","highest_qualification","First degree",,,"2014-2025",24.197,20.859,27.707,309,"Average","3-year moving average","2022 to 2024"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Lower working","highest_qualification","First degree",,,"2014-2025",24.54,21.319,28.065,340,"Average","3-year moving average","2023 to 2025"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower working","highest_qualification","Higher degree",,,"2014-2025",4.313,3.033,6.071,786,"Average","3-year moving average","2014 to 2016"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower working","highest_qualification","Higher degree",,,"2014-2025",4.721,3.345,6.487,756,"Average","3-year moving average","2015 to 2017"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower working","highest_qualification","Higher degree",,,"2014-2025",4.778,3.391,6.637,698,"Average","3-year moving average","2016 to 2018"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower working","highest_qualification","Higher degree",,,"2014-2025",5.489,4.035,7.535,666,"Average","3-year moving average","2017 to 2019"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower working","highest_qualification","Higher degree",,,"2014-2025",6.332,4.614,8.462,546,"Average","3-year moving average","2018 to 2020"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower working","highest_qualification","Higher degree",,,"2014-2025",7.12,5.307,9.384,505,"Average","3-year moving average","2019 to 2021"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower working","highest_qualification","Higher degree",,,"2014-2025",7.069,5.225,9.424,414,"Average","3-year moving average","2020 to 2022"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower working","highest_qualification","Higher degree",,,"2014-2025",5.49,3.923,7.659,365,"Average","3-year moving average","2021 to 2023"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower working","highest_qualification","Higher degree",,,"2014-2025",5.709,4.102,7.925,310,"Average","3-year moving average","2022 to 2024"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Lower working","highest_qualification","Higher degree",,,"2014-2025",7.131,5.381,9.511,340,"Average","3-year moving average","2023 to 2025"
